# Bundle file v0.3
26 666
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1963.23634502 -0.00742694073225 -0.00173718293678
0.960505021162 0.187660855627 0.205459260165
0.0862210314349 -0.902738597198 0.421460506889
0.264567643639 -0.387100023759 -0.883265267938
0.131990205269 -1.3073193796 1.59712556728
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2103.93110955 0.00461764331516 0.000699857540332
0.975362591892 0.219193335762 0.024941850299
0.173168563706 -0.8307582412 0.529011713691
0.136676489868 -0.511659091814 -0.8482479065
3.94608189418 -2.75579532988 0.959809327196
2054.80439558 0.0068802489026 0.00195682583825
0.963349474537 0.10664058325 0.246141373834
-0.046770401552 -0.836756321207 0.545574365655
0.264140719026 -0.537090909367 -0.80110113945
-0.044812255966 -4.82001057423 -0.385864047324
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2040.80083446 -0.000932160182931 -0.000411600181133
0.805872811306 0.0311513401339 0.591268641149
-0.0718259145273 -0.986096564005 0.149848605133
0.587715960308 -0.16322732757 -0.79243093676
-8.96895764477 2.64972724722 -3.72677435191
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2042.22785397 -0.00149756252657 -0.000402126152813
